Package;Modul;Komponent;Domain;Klasse;Anzahl der Abhängigkeiten zu anderen Modulen;Anzahl der Abhängigkeiten zu anderen Packages;Anzahl der Abhängigkeiten zu anderen Komponenten;Anzahl der Abhängigkeiten im gleichen Modul;Anzahl der Abhängigkeiten im gleichen Package;Anzahl der Abhängigkeiten in der gleichen Komponente
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.entities.notification;infrastructure-dataaccess;route;navigation;Channel;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess.types.notification;domain;route;navigation;NotificationDTO;1;2;0;2;1;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess.types.waypoint;domain;route;navigation;Status;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;domain;routecalculation;navigation;LocationResponseDTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.logic;domain;appointment;planning;AppointmentLogic;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.facade;infrastructure-dataaccess;route;navigation;WaypointDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.api;domain;inspector;planning;InspectorComponent;2;3;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.inspectors.resources.types;infrastructure-application;null;component;InspectorTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.repository;infrastructure-dataaccess;process;planning;ProcessRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.entities;infrastructure-dataaccess;user;planning;UserEntity;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.entities;infrastructure-dataaccess;user;planning;PermissionEntity;1;1;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess.types.waypoint;domain;route;navigation;Category;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.facade;infrastructure-dataaccess;process;planning;ProcessDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.component.appointments.resources.mapper;infrastructure-application;null;component;AppointmentMapper;3;5;1;2;0;0
de.exxcellent.student.softwarearchitecture.transition.component.authentication.resources;infrastructure-application;null;component;AuthenticationResourceV1;5;8;2;3;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.entities;infrastructure-dataaccess;user;planning;UserPermissionEntity;1;1;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.resources.validation;common;null;resources;RequestCondition;0;2;0;2;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.location.data.repository;infrastructure-dataaccess;location;planning;LocationRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.repository;infrastructure-dataaccess;route;navigation;NotificationRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.location.facade;domain;location;planning;LocationFacade;4;8;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.converter;infrastructure-application;null;component;NotificationChannelConverter;0;1;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.requestfilters.filters;infrastructure-application;null;application;JwtRequestFilter;2;4;2;2;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.mapper;domain;process;planning;ProcessMapper;3;9;0;6;0;6
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointsCTO;0;0;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.mapper;infrastructure-routecalculation;routecalculation;navigation;RouteCalculationDataAccessMapper;3;6;0;3;0;6
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;UpdatedWaypointDO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointTO;1;1;0;4;4;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess.types.notification;domain;route;navigation;Channel;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.permissions;infrastructure-application;null;application;RequiresPermission;1;1;1;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.repository;infrastructure-dataaccess;user;planning;UserPermissionRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.entities;infrastructure-dataaccess;user;planning;PermissionName;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.logic;domain;route;navigation;NotificationLogic;2;4;0;3;1;3
de.exxcellent.student.softwarearchitecture.transition.planning.location.api.types;domain;location;planning;LocationDO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess.types;domain;user;planning;UserPermissionDTO;1;1;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.dataaccess;domain;inspector;planning;InspectorDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.errorhandling.exception;common;null;errorhandling;BusinessException;0;1;0;2;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.facade;infrastructure-dataaccess;user;planning;UserDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.process.api.types;domain;process;planning;Type;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.resources.errorhandling;common;null;resources;CustomizedResponseEntityExceptionHandler;0;4;0;5;1;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;infrastructure-routecalculation;routecalculation;navigation;LocationTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.facade;infrastructure-dataaccess;route;navigation;NotificationDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;WaypointStatus;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.mapper;domain;inspector;planning;InspectorMapper;3;5;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.permissions;infrastructure-application;null;application;RequiresPermissionAspect;3;4;1;2;1;0
de.exxcellent.student.softwarearchitecture.transition.component.contacts.resources.types;infrastructure-application;null;component;ContactTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;infrastructure-routecalculation;routecalculation;navigation;TripTO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.data.repository;infrastructure-dataaccess;inspector;planning;InspectorRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.repository;infrastructure-dataaccess;user;planning;UserRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.user.resources;infrastructure-application;user;planning;UserResourceV1;4;4;0;0;0;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;WaypointCategory;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RoutesCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.location.logic;domain;location;planning;LocationLogic;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources.types;infrastructure-application;null;component;ProcessPriority;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.api.types;domain;routecalculation;navigation;RouteCalculationDO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.requestfilters;infrastructure-application;null;application;FilterRegistrationConfiguration;0;2;0;2;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.facade;domain;route;navigation;RouteFacade;5;16;0;11;0;11
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;CrudDataAccessFacade;0;6;0;7;1;0
de.exxcellent.student.softwarearchitecture.transition.component.inspectors.resources;infrastructure-application;null;component;InspectorsResourceV1;6;11;4;5;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess;domain;user;planning;UserDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointLocationTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.logic;domain;inspector;planning;InspectorLogic;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.mapper;infrastructure-dataaccess;user;planning;UserDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.location.dataaccess;domain;location;planning;LocationDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.contact.data.mapper;infrastructure-dataaccess;contact;planning;ContactDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;DataTransferObject;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.dataaccess.types;domain;process;planning;ProcessType;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;DTOWithTechnicalParameters;0;0;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.resources;common;null;resources;SecuredResource;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security;infrastructure-application;null;application;JwtUserDetailsService;2;3;2;1;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.logic;domain;process;planning;ProcessLogic;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.data.facade;infrastructure-dataaccess;appointment;planning;AppointmentDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.user.api.types;domain;user;planning;UserDO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.data.facade;infrastructure-dataaccess;inspector;planning;InspectorDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.location.api;domain;location;planning;LocationComponent;2;3;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources.mapper;infrastructure-application;null;component;ProcessMapper;5;9;3;4;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.connector;infrastructure-routecalculation;routecalculation;navigation;RouteCalculationConnector;4;7;0;3;0;3
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.mapper;infrastructure-application;null;component;NotificationMapper;4;7;2;3;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.mapper;domain;contact;planning;ContactMapper;3;5;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.contact.data.facade;infrastructure-dataaccess;contact;planning;ContactDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources;infrastructure-application;null;component;RoutesResourceV1;7;16;6;9;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.data.facade;infrastructure-dataaccess;user;planning;UserPermissionDataAccessFacade;2;4;0;2;0;4
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api;domain;route;navigation;NotificationComponent;2;3;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.location.data.entities;infrastructure-dataaccess;location;planning;LocationEntity;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.api.types;domain;contact;planning;ContactDO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.entities.waypoint;infrastructure-dataaccess;route;navigation;WaypointEntity;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security;infrastructure-application;null;application;WebSecurityConfiguration;0;1;0;2;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.dataaccess.types;domain;process;planning;ProcessPriority;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;domain;routecalculation;navigation;TripDTO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess;domain;route;navigation;NotificationDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointStatus;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.mapper;infrastructure-dataaccess;process;planning;ProcessDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api;domain;route;navigation;RouteComponent;1;5;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.api.types;domain;inspector;planning;InspectorDO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.resources.errorhandling;common;null;resources;ErrorTO;0;1;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.entities.waypoint;infrastructure-dataaccess;route;navigation;Status;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.api.types;domain;routecalculation;navigation;LocationRequestDO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security;infrastructure-application;null;application;JwtAuthenticationSecurityEntryPoint;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.resources;infrastructure-application;user;planning;CurrentUser;1;2;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess;domain;route;navigation;WaypointDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.navigation.route.mapper;domain;route;navigation;NotificationMapper;3;8;0;5;0;5
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.requestfilters.filters;infrastructure-application;null;application;RequestResponseLoggingFilter;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.components;common;null;components;TechnicalComponent;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources.types;infrastructure-application;null;component;ProcesssCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.location.data.facade;infrastructure-dataaccess;location;planning;LocationDataAccessFacade;5;8;0;3;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.location.mapper;domain;location;planning;LocationMapper;3;5;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.errorhandling.exception;common;null;errorhandling;TechnicalException;0;1;0;2;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.location.dataaccess.types;domain;location;planning;LocationDTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.appointments.resources.types;infrastructure-application;null;component;AppointmentTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources;infrastructure-application;null;component;WaypointsResourceV1;6;10;5;4;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.dataaccess;domain;contact;planning;ContactDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.process.api.types;domain;process;planning;Priority;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointContactTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.entities;common;null;entities;EntityWithTechnicalParameters;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;infrastructure-routecalculation;routecalculation;navigation;TripResponseTO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.dataaccess;common;null;dataaccess;CommonDTO;0;0;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.facade;domain;appointment;planning;AppointmentFacade;4;8;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.api.types;domain;routecalculation;navigation;CalculationMode;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.facade;domain;process;planning;ProcessFacade;4;10;0;6;0;6
de.exxcellent.student.softwarearchitecture.transition.planning.user.api.types;domain;user;planning;Permission;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.notification;domain;route;navigation;NotificationChannel;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.notification;infrastructure-application;null;component;NotificationsCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.entities;infrastructure-dataaccess;process;planning;ProcessPriority;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.requestfilters.filters;infrastructure-application;null;application;CorsFilter;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess.types;domain;user;planning;UserDTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.json;common;null;json;JsonMapper;0;2;0;2;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.mapper;infrastructure-dataaccess;route;navigation;NotificationDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.resources;common;null;resources;BusinessTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.resilience;common;null;resilience;Retry;0;3;0;3;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.data.entities;infrastructure-dataaccess;contact;planning;ContactEntity;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess.types;domain;user;planning;PermissionDTO;1;1;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.facade;domain;routecalculation;navigation;RouteCalculationFacade;1;8;0;7;0;7
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.mapper;infrastructure-dataaccess;route;navigation;WaypointDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.notification;domain;route;navigation;NotificationDO;1;1;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;domain;routecalculation;navigation;ModeDTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.authentication.resources.types;infrastructure-application;null;component;JwtRequest;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.facade;infrastructure-routecalculation;routecalculation;navigation;RouteCalculationDataAccessFacade;5;10;0;5;0;9
de.exxcellent.student.softwarearchitecture.transition.component.contacts.resources.types;infrastructure-application;null;component;ContactsCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.resources.validation;common;null;resources;ResponseCondition;0;2;0;2;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.data.mapper;infrastructure-dataaccess;inspector;planning;InspectorDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.errorhandling.exception;common;null;errorhandling;CoreException;0;1;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.component.authentication.resources.types;infrastructure-application;null;component;JwtResponse;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;RouteCalculationMode;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.errorhandling;common;null;errorhandling;ErrorCode;0;0;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.dataaccess;domain;appointment;planning;AppointmentDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.resources;common;null;resources;BusinessResource;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.errorhandling;common;null;errorhandling;ErrorCategory;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.dataaccess.types;domain;process;planning;ProcessDTO;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.facade;domain;inspector;planning;InspectorFacade;4;8;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.api;domain;appointment;planning;AppointmentComponent;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.navigation.route.api.types.route;domain;route;navigation;WaypointDO;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.component.contacts.resources;infrastructure-application;null;component;ContactsResourceV1;6;11;4;5;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.logic;domain;route;navigation;RouteLogic;6;9;0;3;0;3
de.exxcellent.student.softwarearchitecture.transition;infrastructure-application;null;de;Application;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.mapper;infrastructure-application;null;component;RouteMapper;8;18;6;10;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.mapper;domain;routecalculation;navigation;RouteCalculationMapper;0;9;0;9;0;9
de.exxcellent.student.softwarearchitecture.transition.component.locations.resources.types;infrastructure-application;null;component;LocationTO;1;1;0;0;0;0
